datetime,open,high,low,close,volume,symbol
2022-07-25,272.21667,274.14667,267.39999,268.43332,64073400,TSLA
2022-07-26,266.51334,267.31,256.26334,258.85999,66820800,TSLA
2022-07-27,263.81,275.92667,261.79001,274.82001,88110000,TSLA
2022-07-28,280.06668,283.29999,272.79999,280.89999,84723000,TSLA
2022-07-29,280.70001,298.32001,279.10001,297.14999,95313000,TSLA
2022-08-01,301.27667,311.87668,295.0,297.27667,117042900,TSLA
2022-08-02,294.00333,307.83334,292.66666,300.58667,95577600,TSLA
2022-08-03,305.0,309.54999,301.14999,307.39667,80091000,TSLA
2022-08-04,311.0,313.60666,305.0,308.63333,72256200,TSLA
2022-08-05,302.67001,304.60666,285.54333,288.17001,113172900,TSLA
2022-08-08,295.0,305.20001,289.08667,290.42334,98994000,TSLA
2022-08-09,290.29333,292.39667,279.35333,283.33334,86244600,TSLA
2022-08-10,297.06668,297.51001,283.37,294.35666,94918800,TSLA
2022-08-11,296.51334,298.23666,285.83334,286.63,70155000,TSLA
2022-08-12,289.41666,300.16,285.03333,300.03,79657200,TSLA
2022-08-15,301.78668,313.13333,301.23001,309.32001,89359200,TSLA
2022-08-16,311.66666,314.66666,302.88333,306.56332,88136400,TSLA
2022-08-17,303.39667,309.65668,300.03333,303.99667,68766000,TSLA
2022-08-18,306.0,306.5,301.85333,302.87,47500500,TSLA
2022-08-19,299.0,300.35999,292.5,296.66666,61395300,TSLA
2022-08-22,291.91333,292.39999,286.29666,289.91333,55843200,TSLA
2022-08-23,291.45334,298.82666,287.92334,296.45334,63984900,TSLA
2022-08-24,297.56332,303.64667,296.5,297.09668,57259800,TSLA
2022-08-25,302.35999,302.95999,291.60001,296.07001,53230000,TSLA
2022-08-26,297.42999,302.0,287.47,288.09,57163900,TSLA
2022-08-29,282.82999,287.73999,280.70001,284.82001,41864700,TSLA
2022-08-30,287.87,288.48001,272.64999,277.70001,50541800,TSLA
2022-08-31,280.62,281.25,271.81,275.60999,52107300,TSLA
2022-09-01,272.57999,277.57999,266.14999,277.16,54287000,TSLA
2022-09-02,281.07001,282.35001,269.07999,270.20999,50890100,TSLA
2022-09-06,272.67999,275.98999,265.73999,274.42001,55860000,TSLA
2022-09-07,273.10001,283.84,272.26999,283.70001,50028900,TSLA
2022-09-08,281.29999,289.5,279.76001,289.26001,53713100,TSLA
